Flop,IP EV 1/3,IP EV,EV loss (% pot),OOP Equity,IP Equity,Flop suit,Flop type,Paired,High card paired,% nut hands (OOP),% draws (OOP),%straight flush (OOP),%quads (OOP),%fullhouse (OOP),%flush (OOP),%straight (OOP),%set (OOP),%trips (OOP),%two pair (OOP),%overpair (OOP),%top pair (OOP),%middle pair (OOP),%bottom pair (OOP),%underpair (OOP),%low pair (OOP),%A high (OOP),%K high (OOP),%combo draw (OOP),%flush draw (OOP),%OESD (OOP),%gutshot (OOP),%nothing (OOP),%nut hands (IP),%draws (IP),%straight flush (IP),%quads (IP),%fullhouse (IP),%flush (IP),%straight (IP),%set (IP),%trips (IP),%two pair (IP),%overpair (IP),%top pair (IP),%middle pair (IP),%bottom pair (IP),%underpair (IP),%low pair (IP),%A high (IP),%K high (IP),%combo draw (IP),%flush draw (IP),%OESD (IP),%gutshot (IP),%nothing (IP)
Ad 7s 6s,30.5053,31.1111,0.011014545,45.74,54.26,tt,A8-,0,0,0.064,0.191,0,0,0,0,0,0.013,0,0.051,0,0.173,0.066,0.05,0.013,0.05,0,0.178,0.014,0.061,0.039,0.077,0.405,0.059,0.165,0,0.002,0,0,0,0.017,0,0.04,0,0.23,0.051,0.044,0.069,0.046,0,0.184,0.015,0.054,0.04,0.056,0.318
Jc 8d 6s,32.2886,32.7668,0.008694545,46.6,53.4,r,1BW,0,0,0.019,0.13,0,0,0,0,0,0.009,0,0.01,0,0.133,0.126,0.096,0.006,0.05,0.209,0.122,0,0,0.041,0.089,0.238,0.066,0.13,0,0,0,0,0,0.017,0,0.015,0.034,0.118,0.11,0.075,0.022,0.045,0.27,0.127,0,0,0.045,0.085,0.166
9s 8s 6s,28.1003,29.2602,0.021089091,47.67,52.33,m,1BW,0,0,0.111,0.546,0.003,0,0,0.064,0.009,0.012,0,0.026,0,0.126,0.109,0.096,0,0.05,0.19,0.107,0.124,0.131,0.12,0.171,0.207,0.164,0.524,0.004,0,0,0.052,0.011,0.017,0,0.028,0.056,0.12,0.102,0.071,0,0.045,0.253,0.112,0.105,0.174,0.099,0.146,0.129
Js 9d 7s,27.7463,29.2116,0.026641818,48.16,51.84,tt,2BW+,0,0,0.067,0.381,0,0,0,0,0.031,0.009,0,0.027,0,0.116,0.127,0.106,0,0.063,0.211,0.125,0.022,0.053,0.067,0.239,0.186,0.091,0.399,0,0,0,0,0.014,0.017,0,0.026,0.034,0.106,0.12,0.079,0.011,0.057,0.271,0.128,0.025,0.046,0.068,0.26,0.136
Kc Qd 7s,33.5398,33.5527,0.000234545,44.86,55.14,r,2BW+,0,0,0.026,0.136,0,0,0,0,0,0.006,0,0.02,0,0.121,0.104,0.111,0,0.062,0.258,0,0,0,0.029,0.107,0.318,0.053,0.153,0,0,0,0,0,0.017,0,0.025,0.011,0.143,0.123,0.114,0,0.057,0.275,0,0,0,0.031,0.122,0.234
Kc 9d 8s,32.2646,32.5503,0.005194545,44.42,55.58,r,2BW+,0,0,0.058,0.151,0,0,0,0,0,0.006,0,0.052,0,0.097,0.11,0.091,0,0.075,0.23,0,0,0,0.065,0.086,0.339,0.081,0.139,0,0,0,0,0,0.017,0,0.052,0.012,0.128,0.106,0.088,0.035,0.07,0.279,0,0,0,0.046,0.093,0.213
Ac Qd 8s,35.4218,36.1757,0.013707273,43.15,56.85,r,AT+,0,0,0.025,0.151,0,0,0,0,0,0.003,0,0.022,0,0.199,0.124,0.115,0,0.077,0,0.14,0,0,0.03,0.121,0.319,0.065,0.161,0,0,0,0,0,0.018,0,0.047,0,0.241,0.12,0.136,0.012,0.072,0,0.145,0,0,0.032,0.129,0.208
9s 9d 5s,30.5484,30.9578,0.007443636,45.72,54.28,tt,2BW+,1,1,0.11,0.138,0,0.001,0.01,0,0,0,0.099,0,0,0,0.078,0.037,0.031,0,0.231,0.152,0.004,0.073,0,0.061,0.36,0.164,0.096,0,0.002,0.007,0,0,0,0.098,0.057,0,0,0.062,0.034,0.034,0,0.302,0.158,0.006,0.066,0,0.024,0.246
Kd Js 9s,31.2069,31.6392,0.00786,45.3,54.7,tt,2BW+,0,0,0.084,0.36,0,0,0,0,0.029,0.003,0,0.052,0,0.099,0.1,0.108,0,0.082,0.243,0,0.028,0.051,0.035,0.246,0.284,0.112,0.372,0,0,0,0,0.031,0.017,0,0.052,0.012,0.128,0.092,0.118,0.012,0.081,0.279,0,0.025,0.052,0.019,0.276,0.177
Ad Qs 9s,33.8173,34.822,0.018267273,43.5,56.5,tt,A9+,0,0,0.039,0.202,0,0,0,0,0,0.003,0,0.036,0,0.2,0.107,0.111,0,0.083,0,0.141,0.006,0.074,0.029,0.093,0.318,0.073,0.196,0,0,0,0,0,0.018,0,0.055,0,0.242,0.112,0.135,0.012,0.085,0,0.145,0.01,0.064,0.03,0.092,0.196
As Ad Kc,33.9475,33.8989,-0.000883636,43.56,56.44,r,A9+,1,1,0.154,0.092,0,0,0,0,0,0,0.154,0,0,0,0.152,0.092,0,0,0,0,0,0,0,0.092,0.602,0.208,0.102,0,0.002,0.019,0,0,0,0.187,0,0,0,0.166,0.141,0,0,0,0,0,0,0,0.102,0.485
Js Jd 3c,31.6674,31.8861,0.003976364,45.96,54.04,r,2BW+,1,1,0.099,0,0,0.008,0,0,0,0,0.091,0,0,0,0.065,0.012,0.062,0,0.24,0.152,0,0,0,0,0.37,0.129,0,0,0.002,0.006,0,0,0,0.088,0,0.033,0,0.042,0.011,0.079,0,0.297,0.156,0,0,0,0,0.286
Js Ts Td,31.4634,31.6357,0.003132727,46.04,53.96,tt,2BW+,1,0,0.1,0.228,0,0,0.01,0,0,0,0.09,0,0,0.124,0,0.088,0,0,0.246,0.134,0.01,0.069,0.08,0.069,0.307,0.129,0.283,0,0.002,0.017,0,0,0,0.076,0,0.034,0.113,0,0.092,0,0,0.305,0.137,0.017,0.059,0.086,0.121,0.223
4s 2d 2c,30.6894,31.317,0.011410909,46.2,53.8,r,Rags,1,0,0.091,0.075,0,0.002,0.008,0,0,0,0.034,0,0.047,0.065,0,0,0.012,0,0.218,0.165,0,0,0.008,0.067,0.448,0.13,0.072,0,0.002,0.005,0,0,0,0.018,0,0.105,0.05,0,0,0.01,0,0.279,0.167,0,0,0.007,0.065,0.363
7s 5d 3c,29.3578,30.332,0.017712727,48.31,51.69,r,Rags,0,0,0.047,0.274,0,0,0,0,0.006,0.018,0,0.011,0.012,0.097,0.071,0.07,0.012,0.012,0.195,0.163,0,0,0.05,0.224,0.332,0.105,0.214,0,0,0,0,0.007,0.016,0,0.007,0.075,0.069,0.05,0.046,0.011,0.011,0.257,0.164,0,0,0.043,0.171,0.287
8s 4d 3d,31.6626,32.2115,0.00998,46.9,53.1,tt,Rags,0,0,0.027,0.17,0,0,0,0,0,0.015,0,0.006,0.006,0.131,0.066,0.063,0.036,0.012,0.195,0.139,0.008,0.065,0.009,0.088,0.328,0.088,0.149,0,0,0,0,0,0.016,0,0.007,0.065,0.124,0.045,0.036,0.033,0.011,0.26,0.145,0.009,0.07,0.005,0.065,0.26
8s 5d 3c,30.9563,31.7509,0.014447273,47.17,52.83,r,Rags,0,0,0.029,0.124,0,0,0,0,0,0.015,0,0.008,0.006,0.126,0.07,0.076,0.024,0.012,0.196,0.14,0,0,0.043,0.081,0.326,0.088,0.095,0,0,0,0,0,0.016,0,0.007,0.065,0.12,0.051,0.047,0.022,0.011,0.262,0.145,0,0,0.015,0.08,0.254
9s 7d 3c,31.3073,31.8956,0.010696364,47.18,52.82,r,1BW,0,0,0.022,0.105,0,0,0,0,0,0.015,0,0.007,0,0.148,0.099,0.102,0.006,0.012,0.197,0.144,0,0,0.041,0.064,0.269,0.076,0.106,0,0,0,0,0,0.017,0,0.004,0.055,0.139,0.071,0.075,0.011,0.011,0.264,0.147,0,0,0.029,0.077,0.206
9s 8d 6s,29.8494,30.7667,0.016678182,47.03,52.97,tt,1BW,0,0,0.05,0.489,0,0,0,0,0.012,0.012,0,0.026,0,0.126,0.109,0.096,0,0.05,0.197,0.12,0.038,0.04,0.175,0.236,0.251,0.114,0.414,0,0,0,0,0.015,0.017,0,0.026,0.056,0.12,0.102,0.071,0,0.045,0.27,0.128,0.034,0.036,0.138,0.206,0.149
9s 8s 6d,29.792,30.7368,0.017178182,47.05,52.95,tt,1BW,0,0,0.047,0.495,0,0,0,0,0.012,0.012,0,0.023,0,0.126,0.109,0.097,0,0.05,0.198,0.121,0.038,0.045,0.175,0.237,0.252,0.112,0.416,0,0,0,0,0.015,0.017,0,0.024,0.056,0.12,0.102,0.071,0,0.045,0.271,0.128,0.034,0.037,0.139,0.206,0.15
9s 9d 2s,31.3407,31.5563,0.00392,45.82,54.18,tt,2BW+,1,1,0.109,0.082,0,0.001,0.006,0,0,0,0.102,0,0,0,0.061,0,0.068,0,0.228,0.151,0,0.082,0,0,0.383,0.162,0.081,0,0.002,0.006,0,0,0,0.098,0,0.056,0,0.03,0,0.067,0.299,0.157,0,0,0.081,0,0,0.286
9s 9d 4s,31.3512,31.5842,0.004236364,45.45,54.55,tt,2BW+,1,1,0.11,0.077,0,0.001,0.006,0,0,0,0.103,0,0,0,0.075,0,0.044,0,0.231,0.152,0,0.077,0,0,0.364,0.163,0.074,0,0.002,0.006,0,0,0,0.099,0,0.056,0,0.054,0,0.045,0,0.301,0.158,0,0.074,0,0,0.256
As 3s 2s,28.7376,29.7622,0.018629091,46.7,53.3,m,A8-,0,0,0.124,0.408,0.002,0,0,0.069,0.005,0.012,0,0.038,0,0.171,0.043,0.031,0.061,0,0,0.158,0.025,0.235,0,0.148,0.41,0.119,0.371,0.002,0,0,0.068,0,0.017,0,0.034,0,0.225,0.02,0.007,0.112,0,0,0.163,0.022,0.243,0,0.106,0.346
As 8d 7d,31.7318,32.271,0.009803636,44.73,55.27,tt,A8-,0,0,0.062,0.199,0,0,0,0,0,0.01,0,0.052,0,0.175,0.092,0.067,0.006,0.064,0,0.157,0.014,0.066,0.038,0.081,0.378,0.063,0.189,0,0,0,0,0,0.018,0,0.045,0,0.235,0.101,0.047,0.059,0.059,0,0.165,0.016,0.054,0.041,0.078,0.273
As Qd 7c,33.9657,34.361,0.007187273,44.39,55.61,r,A9+,0,0,0.028,0.089,0,0,0,0,0,0.006,0,0.022,0,0.198,0.124,0.095,0,0.063,0,0.165,0,0,0,0.089,0.326,0.058,0.095,0,0,0,0,0,0.018,0,0.04,0,0.237,0.127,0.1,0.012,0.059,0,0.166,0,0,0,0.095,0.242
As Qd 8c,35.4416,36.2217,0.014183636,43.15,56.85,r,A9+,0,0,0.025,0.151,0,0,0,0,0,0.003,0,0.022,0,0.199,0.124,0.115,0,0.077,0,0.14,0,0,0.03,0.121,0.319,0.065,0.161,0,0,0,0,0,0.018,0,0.047,0,0.241,0.12,0.136,0.012,0.072,0,0.145,0,0,0.032,0.129,0.208
As Td 4c,32.5379,32.9868,0.008161818,44.59,55.41,r,A9+,0,0,0.044,0.107,0,0,0,0,0,0.006,0,0.038,0,0.177,0.129,0.098,0,0.025,0,0.156,0,0,0,0.107,0.371,0.053,0.101,0,0,0,0,0,0.018,0,0.035,0,0.234,0.116,0.091,0.035,0.023,0,0.164,0,0,0,0.101,0.284
Js 5d 3c,30.6616,31.1442,0.008774545,47.15,52.85,r,1BW,0,0,0.024,0.109,0,0,0,0,0,0.012,0,0.012,0,0.129,0.07,0.07,0.036,0.012,0.209,0.142,0,0,0.014,0.095,0.308,0.053,0.08,0,0,0,0,0,0.016,0,0.004,0.033,0.13,0.056,0.047,0.055,0.011,0.262,0.145,0,0,0.007,0.073,0.241
Js 6d 4d,30.5928,30.9323,0.006172727,47.21,52.79,tt,1BW,0,0,0.025,0.135,0,0,0,0,0,0.012,0,0.013,0,0.13,0.082,0.075,0.024,0.024,0.207,0.142,0.013,0.059,0.011,0.052,0.291,0.056,0.1,0,0,0,0,0,0.016,0,0.007,0.033,0.129,0.062,0.058,0.044,0.022,0.263,0.146,0.007,0.064,0.011,0.018,0.221
Js 9d 3s,30.787,31.4067,0.011267273,46.73,53.27,tt,2BW+,0,0,0.033,0.22,0,0,0,0,0,0.009,0,0.024,0,0.114,0.13,0.12,0,0.012,0.21,0.121,0.009,0.066,0.057,0.088,0.259,0.068,0.21,0,0,0,0,0,0.017,0,0.017,0.034,0.111,0.125,0.099,0.011,0.011,0.269,0.127,0.013,0.066,0.04,0.091,0.181
Js 9s 3d,30.695,31.3592,0.012076364,46.76,53.24,tt,2BW+,0,0,0.03,0.223,0,0,0,0,0,0.009,0,0.021,0,0.114,0.13,0.121,0,0.012,0.21,0.122,0.009,0.069,0.057,0.088,0.26,0.068,0.205,0,0,0,0,0,0.017,0,0.017,0.034,0.111,0.125,0.099,0.011,0.011,0.269,0.127,0.013,0.061,0.04,0.091,0.181
Ks 8d 3s,32.6203,32.7156,0.001732727,45.09,54.91,tt,1BW,0,0,0.033,0.075,0,0,0,0,0,0.009,0,0.024,0,0.112,0.11,0.113,0.006,0.012,0.227,0,0,0.075,0,0,0.386,0.05,0.072,0,0,0,0,0,0.017,0,0.022,0.011,0.14,0.107,0.082,0.045,0.011,0.27,0.294,0,0.072,0,0,0.294
Ks Jd 6d,32.3223,32.5281,0.003741818,45.41,54.59,tt,2BW+,0,0,0.033,0.187,0,0,0,0,0,0.006,0,0.027,0,0.114,0.116,0.107,0,0.049,0.239,0,0.005,0.069,0.028,0.085,0.342,0.051,0.213,0,0,0,0,0,0.017,0,0.023,0.011,0.142,0.111,0.11,0.011,0.045,0.273,0,0.009,0.062,0.028,0.114,0.256
Qs 5d 5c,32.7685,32.865,0.001754545,44.93,55.07,r,1BW,0,0,0.054,0,0,0.002,0.002,0,0,0,0.05,0,0,0.118,0,0.036,0.036,0,0.254,0.155,0,0,0,0,0.345,0.069,0,0,0.002,0.007,0,0,0,0.038,0,0.022,0.14,0,0,0.066,0,0.294,0.154,0,0,0,0,0.244
Qs 8d 6c,33.6924,33.9863,0.005343636,45.39,54.61,r,1BW,0,0,0.02,0.129,0,0,0,0,0,0.009,0,0.011,0,0.114,0.123,0.096,0.006,0.049,0.226,0.128,0,0,0.041,0.088,0.237,0.058,0.13,0,0,0,0,0,0.017,0,0.018,0.023,0.129,0.111,0.071,0.034,0.045,0.271,0.128,0,0,0.045,0.085,0.153
Qs Td 6s,32.5774,32.9741,0.007212727,45.96,54.04,tt,2BW+,0,0,0.033,0.243,0,0,0,0,0,0.006,0,0.027,0,0.099,0.126,0.106,0,0.049,0.228,0.13,0.009,0.064,0.085,0.085,0.228,0.066,0.272,0,0,0,0,0,0.017,0,0.026,0.023,0.121,0.107,0.094,0.011,0.045,0.271,0.128,0.017,0.05,0.085,0.12,0.158
Ts 5d 4c,29.4928,30.3358,0.015327273,47.69,52.31,r,1BW,0,0,0.023,0.147,0,0,0,0,0,0.012,0,0.011,0,0.14,0.072,0.063,0.037,0.024,0.199,0.142,0,0,0.045,0.102,0.299,0.064,0.089,0,0,0,0,0,0.016,0,0.004,0.044,0.131,0.056,0.047,0.044,0.022,0.263,0.146,0,0,0.009,0.08,0.227
Ts 5d 4s,29.0346,29.9238,0.016167273,47.9,52.1,tt,1BW,0,0,0.025,0.211,0,0,0,0,0,0.012,0,0.013,0,0.14,0.072,0.062,0.037,0.024,0.199,0.142,0.012,0.065,0.04,0.094,0.298,0.064,0.151,0,0,0,0,0,0.016,0,0.004,0.044,0.131,0.056,0.047,0.044,0.022,0.263,0.146,0.01,0.062,0.007,0.072,0.227
